plan_year,plan_rows,unique_sponsors,unique_plans,assets_nonmissing,liabilities_nonmissing,contributions_nonmissing,benefit_payments_nonmissing,participants_nonmissing,information_date_nonmissing
2015,1073,686,1073,1073,1073,1010,1073,1073,1073
2016,1056,681,1056,1056,1056,1001,1055,1056,1056
2017,1006,657,1006,1006,1006,965,1006,1006,1006
2018,958,619,958,958,958,912,958,958,958
2019,921,604,921,921,921,868,919,921,921
2020,873,582,873,873,873,822,872,873,873
2021,839,573,839,839,839,792,838,839,839
2022,803,548,803,803,803,741,803,803,803
2023,746,514,746,746,746,698,745,746,746
2024,675,470,675,675,675,641,674,675,675
