plan_year,sponsor_year_rows,sponsor_years_with_any_core_financial,sponsor_years_with_all_core_financials,total_assets_nonmissing,total_liabilities_nonmissing,debt_nonmissing,cash_nonmissing,revenue_nonmissing,operating_income_nonmissing,operating_cash_flow_nonmissing,pension_size_nonmissing
2015,686,608,106,607,369,450,559,454,444,386,400
2016,681,589,99,588,364,432,541,442,434,377,355
2017,657,549,101,549,343,407,504,410,405,422,448
2018,619,503,119,503,318,374,471,421,370,449,412
2019,604,479,129,479,303,358,457,409,347,462,366
2020,582,462,132,462,295,349,443,400,338,448,367
2021,573,433,118,433,281,318,416,371,318,418,281
2022,548,410,111,410,268,296,403,345,300,392,274
2023,514,380,105,380,245,275,375,322,280,361,307
2024,470,346,91,346,223,245,343,304,245,329,300
