plan_year,sponsor_year_rows,pension_any_nonmissing,pension_all_nonmissing,sponsor_financials_any_nonmissing,sponsor_financials_all_nonmissing,market_any_nonmissing,market_all_nonmissing,macro_any_nonmissing,macro_all_nonmissing
2015,686,451,282,608,0,415,341,686,686
2016,681,410,256,590,0,422,348,681,681
2017,657,535,324,549,0,414,342,657,657
2018,619,507,322,503,0,398,330,619,619
2019,604,458,288,479,0,397,330,604,604
2020,582,463,297,462,0,390,326,582,582
2021,573,365,219,433,0,384,319,573,573
2022,548,355,211,410,0,372,304,548,548
2023,514,408,243,380,0,351,291,514,514
2024,470,405,252,346,0,329,270,470,470
