plan_year,plan_rows,unique_plans,unique_sponsors,assets_nonmissing,liabilities_nonmissing,contributions_nonmissing,benefit_payments_nonmissing,participants_nonmissing,information_date_nonmissing
2015,10550,10550,9220,10548,10549,10038,9961,10550,10550
2016,10070,10070,8778,10070,10069,9581,9504,10070,10070
2017,9495,9495,8280,9493,9490,9103,9012,9495,9495
2018,8795,8795,7653,8795,8794,8464,8379,8795,8795
2019,8287,8287,7221,8287,8287,7941,7929,8287,8287
2020,7744,7744,6747,7744,7744,7433,7432,7744,7744
2021,6990,6990,6078,6990,6990,6662,6731,6990,6990
2022,6501,6501,5656,6500,6501,6184,6282,6501,6501
2023,6001,6001,5256,5999,5999,5756,5814,6001,6001
2024,5349,5349,4695,5349,5349,5152,5179,5349,5349
